중분류,소분류,URL,SubURL,Method,Parameter,Anotation,Front-End Data,Back-End Data,Front-End File,추가 설명
회원,회원가입,/PJTNAME/users,,POST,UserDto userDto,PostMapping,,JSON,,
,회원 정보 조회,/PJTNAME/users,/{userSeq},GET,int userSeq,GetMapping,,JSON,,
,회원 정보 수정,/PJTNAME/users,/{userSeq}/profile,PUT,"UserDto userDto, int userSeq",PutMapping,,JSON,,
,회원 비밀번호 수정,/PJTNAME/users,/{userSeq}/password,PUT,"String password, int userSeq",PutMapping,,JSON,,
,회원 탈퇴,/PJTNAME/users,/{userSeq},DELETE,int userSeq,DeleteMapping,,JSON,,
,,,,,,,,,,
로그인,로그인 수행,/PJTNAME/login,,POST,"HttpSession session, UserDto userDto",PostMapping,,JSON,,
,로그아웃,/PJTNAME/logout,,GET,HttpSession session,GetMapping,,JSON,,
,,,,,,,,,,
티켓,티켓 등록,/PJTNAME/tickets,,POST,TicketDto ticketDto,PostMapping,,JSON,,
,,,,,,,,,,
좌석 시야 제공,각 영역 시야 조회,/PJTNAME/seeyas,/{area_id},GET,int area_id,GetMapping,,JSON,,
,,,,,,,,,,
길 안내," 길 안내",/PJTNAME/route,/{gate_id}&{f_id},GET,"f_id, gate_id",GetMapping,,JSON,,
,,,,,,,,,,
